val_loss,val_rank_loss,val_ce_loss,val_kl_loss,val_reg_loss,val_dist_loss,val_mae_exp_metric,val_mae_max_metric,epoch,step,train_loss_epoch,train_rank_loss_epoch,train_ce_loss_epoch,train_kl_loss_epoch,train_reg_loss_epoch,train_dist_loss_epoch,train_mae_exp_metric_epoch,train_mae_max_metric_epoch,train_loss_step,train_rank_loss_step,train_ce_loss_step,train_kl_loss_step,train_reg_loss_step,train_dist_loss_step,train_mae_exp_metric_step,train_mae_max_metric_step,test_loss,test_rank_loss,test_ce_loss,test_kl_loss,test_reg_loss,test_dist_loss,test_mae_exp_metric,test_mae_max_metric
24.2637996673584,0.0,6.318138122558594,5.722854137420654,12.222807884216309,0.0,12.222807884216309,12.222807884216309,0,41,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,41,29.205555921509152,0.0,3.557790756225586,3.488272190093994,22.159494400024414,0.0,22.159494400024414,22.159494400024414,,,,,,,,,,,,,,,,
,,,,,,,,1,49,,,,,,,,,33.5079231262207,0.0,10.87890625,9.825282096862793,12.803733825683594,0.0,12.803733825683594,12.803733825683594,,,,,,,,
19.370361328125,0.0,3.0066497325897217,4.269166469573975,12.094544410705566,0.0,12.094544410705566,12.094544410705566,1,83,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,83,31.228159495762416,0.0,4.474611759185791,4.981114864349365,21.772432327270508,0.0,21.772432327270508,21.772432327270508,,,,,,,,,,,,,,,,
,,,,,,,,2,99,,,,,,,,,17.891197204589844,0.0,1.44091796875,4.862844944000244,11.587434768676758,0.0,11.587434768676758,11.587434768676758,,,,,,,,
19.664575576782227,0.0,3.272991895675659,4.783731937408447,11.6078519821167,0.0,11.6078519821167,11.6078519821167,2,125,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,125,26.099894489560807,0.0,2.4443302154541016,3.372842788696289,20.282718658447266,0.0,20.282718658447266,20.282718658447266,,,,,,,,,,,,,,,,
,,,,,,,,3,149,,,,,,,,,10.27248764038086,0.0,0.9384765625,3.352813482284546,5.981197357177734,0.0,5.981197357177734,5.981197357177734,,,,,,,,
19.541067123413086,0.0,3.3003764152526855,5.199640274047852,11.041051864624023,0.0,11.041051864624023,11.041051864624023,3,167,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4,167,26.59474712326413,0.0,2.460846185684204,3.8906168937683105,20.243282318115234,0.0,20.243282318115234,20.243282318115234,,,,,,,,,,,,,,,,
,,,,,,,,4,199,,,,,,,,,30.12835121154785,0.0,1.5869140625,5.899892330169678,22.641544342041016,0.0,22.641544342041016,22.641544342041016,,,,,,,,
16.186880111694336,0.0,2.206343173980713,2.59843111038208,11.38210678100586,0.0,11.38210678100586,11.38210678100586,4,209,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,5,209,26.14731464499519,0.0,2.353422164916992,3.735825777053833,20.058069229125977,0.0,20.058069229125977,20.058069229125977,,,,,,,,,,,,,,,,
,,,,,,,,5,249,,,,,,,,,36.787071228027344,0.0,1.455078125,9.076383590698242,26.255611419677734,0.0,26.255611419677734,26.255611419677734,,,,,,,,
18.102346420288086,0.0,2.234269618988037,4.231786251068115,11.636290550231934,0.0,11.636290550231934,11.636290550231934,5,251,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,6,251,27.484213420322963,0.0,2.367419958114624,3.916419267654419,21.200374603271484,0.0,21.200374603271484,21.200374603271484,,,,,,,,,,,,,,,,
17.715051651000977,0.0,1.960382103919983,4.397173881530762,11.357497215270996,0.0,11.357497215270996,11.357497215270996,6,293,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,7,293,25.532756033397856,0.0,1.8272937536239624,2.5719196796417236,21.133541107177734,0.0,21.133541107177734,21.133541107177734,,,,,,,,,,,,,,,,
,,,,,,,,7,299,,,,,,,,,8.563894271850586,0.0,1.69091796875,0.8873422741889954,5.985633850097656,0.0,5.985633850097656,5.985633850097656,,,,,,,,
17.014175415039062,0.0,1.817041277885437,3.7500057220458984,11.447127342224121,0.0,11.447127342224121,11.447127342224121,7,335,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,8,335,28.050464039757138,0.0,2.090552806854248,4.856058597564697,21.10385513305664,0.0,21.10385513305664,21.10385513305664,,,,,,,,,,,,,,,,
,,,,,,,,8,349,,,,,,,,,38.10124969482422,0.0,2.19921875,0.007196784019470215,35.894832611083984,0.0,35.894832611083984,35.894832611083984,,,,,,,,
16.779939651489258,0.0,2.0206096172332764,3.172776699066162,11.586552619934082,0.0,11.586552619934082,11.586552619934082,8,377,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,9,377,25.144724675587245,0.0,1.819934606552124,3.1376280784606934,20.187164306640625,0.0,20.187164306640625,20.187164306640625,,,,,,,,,,,,,,,,
,,,,,,,,9,399,,,,,,,,,8.858030319213867,0.0,0.9830322265625,0.31533288955688477,7.559665679931641,0.0,7.559665679931641,7.559665679931641,,,,,,,,
16.806594848632812,0.0,2.796046733856201,2.2510316371917725,11.759516716003418,0.0,11.759516716003418,11.759516716003418,9,419,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,10,419,23.81269407272339,0.0,1.8210115432739258,2.266378164291382,19.725303649902344,0.0,19.725303649902344,19.725303649902344,,,,,,,,,,,,,,,,
,,,,,,,,10,449,,,,,,,,,13.296706199645996,0.0,1.44091796875,2.187941551208496,9.6678466796875,0.0,9.6678466796875,9.6678466796875,,,,,,,,
