train_loss_step,train_rank_loss_step,train_ce_loss_step,train_kl_loss_step,train_reg_loss_step,train_dist_loss_step,train_mae_exp_metric_step,train_mae_max_metric_step,epoch,step,val_loss,val_rank_loss,val_ce_loss,val_kl_loss,val_reg_loss,val_dist_loss,val_mae_exp_metric,val_mae_max_metric,train_loss_epoch,train_rank_loss_epoch,train_ce_loss_epoch,train_kl_loss_epoch,train_reg_loss_epoch,train_dist_loss_epoch,train_mae_exp_metric_epoch,train_mae_max_metric_epoch,test_loss,test_rank_loss,test_ce_loss,test_kl_loss,test_reg_loss,test_dist_loss,test_mae_exp_metric,test_mae_max_metric
8.351598739624023,0.0,2.03900146484375,0.4241461753845215,5.888450622558594,0.0,5.888450622558594,5.888450622558594,0,49,,,,,,,,,,,,,,,,,,,,,,,,
20.597637176513672,0.0,2.46875,2.591775417327881,15.537111282348633,0.0,15.537111282348633,15.537111282348633,0,99,,,,,,,,,,,,,,,,,,,,,,,,
39.90148162841797,0.0,2.8115234375,9.936981201171875,27.152978897094727,0.0,27.152978897094727,27.152978897094727,0,149,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,153,17.7877197265625,0.0,2.034053087234497,4.410993576049805,11.342674255371094,0.0,11.342674255371094,11.342674255371094,,,,,,,,,,,,,,,,
,,,,,,,,1,153,,,,,,,,,27.356575332169424,0.0,3.426640033721924,3.8404808044433594,20.089454650878906,0.0,20.089454650878906,20.089454650878906,,,,,,,,
25.38165283203125,0.0,4.39453125,3.765566110610962,17.221555709838867,0.0,17.221555709838867,17.221555709838867,1,199,,,,,,,,,,,,,,,,,,,,,,,,
20.412508010864258,0.0,1.3662109375,4.222392559051514,14.823904037475586,0.0,14.823904037475586,14.823904037475586,1,249,,,,,,,,,,,,,,,,,,,,,,,,
12.109816551208496,0.0,1.65966796875,1.7423428297042847,8.707805633544922,0.0,8.707805633544922,8.707805633544922,1,299,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,307,16.44745635986328,0.0,1.794516682624817,2.7484676837921143,11.904473304748535,0.0,11.904473304748535,11.904473304748535,,,,,,,,,,,,,,,,
,,,,,,,,2,307,,,,,,,,,25.702616157283224,0.0,1.9008848667144775,4.0865960121154785,19.715133666992188,0.0,19.715133666992188,19.715133666992188,,,,,,,,
26.369720458984375,0.0,1.54248046875,3.604651689529419,21.22258758544922,0.0,21.22258758544922,21.22258758544922,2,349,,,,,,,,,,,,,,,,,,,,,,,,
8.812549591064453,0.0,2.10498046875,0.24527032673358917,6.462299346923828,0.0,6.462299346923828,6.462299346923828,2,399,,,,,,,,,,,,,,,,,,,,,,,,
18.548213958740234,0.0,1.5498046875,0.6791342496871948,16.31927490234375,0.0,16.31927490234375,16.31927490234375,2,449,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,461,16.288501739501953,0.0,1.739780306816101,2.6007821559906006,11.9479398727417,0.0,11.9479398727417,11.9479398727417,,,,,,,,,,,,,,,,
,,,,,,,,3,461,,,,,,,,,23.52070585058256,0.0,1.772449016571045,2.477935791015625,19.270320892333984,0.0,19.270320892333984,19.270320892333984,,,,,,,,
27.251953125,0.0,1.59033203125,1.6341460943222046,24.027475357055664,0.0,24.027475357055664,24.027475357055664,3,499,,,,,,,,,,,,,,,,,,,,,,,,
23.223915100097656,0.0,2.4521484375,0.7821557521820068,19.98961067199707,0.0,19.98961067199707,19.98961067199707,3,549,,,,,,,,,,,,,,,,,,,,,,,,
21.174901962280273,0.0,1.4091796875,1.0322706699371338,18.73345184326172,0.0,18.73345184326172,18.73345184326172,3,599,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,615,15.39565658569336,0.0,1.760948896408081,1.7529710531234741,11.88173770904541,0.0,11.88173770904541,11.88173770904541,,,,,,,,,,,,,,,,
,,,,,,,,4,615,,,,,,,,,21.857795631458394,0.0,1.6799498796463013,0.7941219210624695,19.38372802734375,0.0,19.38372802734375,19.38372802734375,,,,,,,,
6.027209758758545,0.0,1.73779296875,0.7840686440467834,3.5053482055664062,0.0,3.5053482055664062,3.5053482055664062,4,649,,,,,,,,,,,,,,,,,,,,,,,,
22.423254013061523,0.0,1.45361328125,0.7158986330032349,20.253742218017578,0.0,20.253742218017578,20.253742218017578,4,699,,,,,,,,,,,,,,,,,,,,,,,,
24.520309448242188,0.0,1.40771484375,0.013878822326660156,23.098716735839844,0.0,23.098716735839844,23.098716735839844,4,749,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4,769,16.5153865814209,0.0,1.8093376159667969,2.4479098320007324,12.258139610290527,0.0,12.258139610290527,12.258139610290527,,,,,,,,,,,,,,,,
,,,,,,,,5,769,,,,,,,,,21.69529351349374,0.0,1.6455188989639282,0.6584838032722473,19.391286849975586,0.0,19.391286849975586,19.391286849975586,,,,,,,,
13.250370025634766,0.0,1.67041015625,0.6683409810066223,10.911619186401367,0.0,10.911619186401367,10.911619186401367,5,799,,,,,,,,,,,,,,,,,,,,,,,,
10.47171401977539,0.0,0.68310546875,0.03957711160182953,9.749031066894531,0.0,9.749031066894531,9.749031066894531,5,849,,,,,,,,,,,,,,,,,,,,,,,,
17.920801162719727,0.0,1.73583984375,0.6613258123397827,15.523635864257812,0.0,15.523635864257812,15.523635864257812,5,899,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,5,923,14.486841201782227,0.0,1.6689876317977905,1.188249111175537,11.62960433959961,0.0,11.62960433959961,11.62960433959961,,,,,,,,,,,,,,,,
